User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Location,Age
105221,0590353403,10,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,"la mesa, california, usa",15.0
105214,1573220221,10,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,"pittsburgh, pennsylvania, usa",34.0
26421,1558743669,10,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,"st. albans, west virginia, usa",-1.0
105221,0064407667,10,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0064407675,10,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0064407683,10,"The Wide Window (A Series of Unfortunate Events, Book 3)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0064407691,10,"The Miserable Mill (A Series of Unfortunate Events, Book 4)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0064408639,10,"The Austere Academy (A Series of Unfortunate Events, Book 5)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0064408647,10,"The Ersatz Elevator (A Series of Unfortunate Events, Book 6)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0064408655,10,"The Vile Village (A Series of Unfortunate Events, Book 7)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0064408663,10,"The Hostile Hospital (A Series of Unfortunate Events, Book 8)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0064410129,10,"The Carnivorous Carnival (A Series of Unfortunate Events, Book 9)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0064410137,10,"The Slippery Slope (A Series of Unfortunate Events, Book 10)",Lemony Snicket,"la mesa, california, usa",15.0
105221,0312253737,10,The Basic Eight,Daniel Handler,"la mesa, california, usa",15.0
105221,0345325818,10,The Silmarillion,J.R.R. TOLKIEN,"la mesa, california, usa",15.0
105221,0345339681,10,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,"la mesa, california, usa",15.0
105221,0345339703,10,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,"la mesa, california, usa",15.0
105221,0345339711,10,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,"la mesa, california, usa",15.0
105221,0345339738,10,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,"la mesa, california, usa",15.0
105221,0375826688,10,"Eragon (Inheritance, Book 1)",Christopher Paolini,"la mesa, california, usa",15.0
105221,0439064864,10,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,"la mesa, california, usa",15.0
105221,0439136350,10,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,"la mesa, california, usa",15.0
105221,0439139597,10,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,"la mesa, california, usa",15.0
105221,043935806X,10,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,"la mesa, california, usa",15.0
105221,0439404371,10,The Thief Lord,Cornelia Funke,"la mesa, california, usa",15.0
105221,044041833X,10,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,"la mesa, california, usa",15.0
105214,0922233209,10,Raw Deal: Horrible and Ironic Stories of Forgotten Americans,Ken Smith,"pittsburgh, pennsylvania, usa",34.0
105214,0871136104,10,Water from the Well,Myra McLarey,"pittsburgh, pennsylvania, usa",34.0
105214,0684853515,10,Hearts In Atlantis : New Fiction,Stephen King,"pittsburgh, pennsylvania, usa",34.0
105214,0061052256,10,The Lost,Jonathan Aycliffe,"pittsburgh, pennsylvania, usa",34.0
105187,2253030023,10,La Nuit Des Enfants Rois,Bernard Lenteric,"la chapelle sur erdre, loire atlantique, france",53.0
105187,2266002422,10,L'herbe Bleue: Journal Intime d'une Jeune Droguee (Journal d'une jeune fille de 15 ans),Anonyme,"la chapelle sur erdre, loire atlantique, france",53.0
26443,2080702424,10,La Peau De Chagrin (Garnier-Flammarion),Honore de Balzac,"malakoff, hauts-de-seine, france",27.0
105187,2859567771,10,GouttiÃ¨re,RÃ©mo Forlani,"la chapelle sur erdre, loire atlantique, france",53.0
214035,0671567829,10,The Bookman's Wake (Cliff Janeway Novels (Paperback)),John Dunning,"bellingham, washington, usa",50.0
26424,0671722107,10,"MIRROR DANCE (Bujold, Lois Mcmaster. Vorkosigan Adventure.)",Lois McMaster Bujold,"sydney, new south wales, australia",67.0
105214,0345444884,10,The Talisman,STEPHEN KING,"pittsburgh, pennsylvania, usa",34.0
105214,0375412824,10,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,"pittsburgh, pennsylvania, usa",34.0
105214,0375702695,10,Our Guys: The Glen Ridge Rape and the Secret Life of the Perfect Suburb,Bernard Lefkowitz,"pittsburgh, pennsylvania, usa",34.0
214034,0679450548,10,I Was Amelia Earhart,Jane Mendelsohn,"casper, wyoming, usa",-1.0
26432,0740700286,10,Mary Engelbreit'S Words To Live By,Mary Engelbreit,"dublin, ,",45.0
214031,0965806162,10,Where Do Falling Stars Go?,Melanie Friedersdorf,"snowmass village, ,",42.0
26432,0140185003,10,The Quiet American (Penguin Twentieth Century Classics),Graham Greene,"dublin, ,",45.0
105214,0452264464,10,Beloved (Plume Contemporary Fiction),Toni Morrison,"pittsburgh, pennsylvania, usa",34.0
214031,0965806111,10,"Daddy, Up and Down: Sisters Grieve the Loss of Their Daddy",Lila Stenson,"snowmass village, ,",42.0
105214,0553375407,10,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,"pittsburgh, pennsylvania, usa",34.0
105214,0618066136,10,Mr. Wroe's Virgins,Jane Rogers,"pittsburgh, pennsylvania, usa",34.0
105221,0440418569,10,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,"la mesa, california, usa",15.0
105221,0689869118,10,Black Water (Pendragon Series #5),D. J. Machale,"la mesa, california, usa",15.0
26516,0373822219,10,Man from the North Country,Laurie Paige,"victor, montana, usa",67.0
105221,068987183X,10,The Merchant of Death (Pendragon),D.J. MacHale,"la mesa, california, usa",15.0
214011,034545104X,10,Flesh Tones: A Novel,M. J. Rose,"new castle, new hampshire, usa",-1.0
213998,0553578022,10,The Face of Deception,Iris Johansen,"columbia, pennsylvania, usa",68.0
105263,059035342X,10,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,"vancouver, washington state, usa",19.0
105295,0395500753,10,The Chrysanthemum and the Sword : Patterns of Japanese Culture,Ruth Benedict,"hamburg, hamburg, germany",-1.0
105295,0804804966,10,Read Japanese Today,Len Walsh,"hamburg, hamburg, germany",-1.0
259629,0312924585,10,Silence of the Lambs,Thomas Harris,"carrollton, texas, usa",51.0
105295,3446223339,10,BÃ?Â¤rentango. Mit Risikomanagement Projekte zum Erfolg fÃ?Â¼hren.,Tom DeMarco,"hamburg, hamburg, germany",-1.0
105295,3453179420,10,Heiliges Feuer.,Bruce Sterling,"hamburg, hamburg, germany",-1.0
105295,3518392220,10,Zeitverschwendung.,Paul Feyerabend,"hamburg, hamburg, germany",-1.0
105295,3629011330,10,"Murphys Gesetz. Alles, was schief gehen kann, geht schief.",Klaus MÃ?Â¼ller,"hamburg, hamburg, germany",-1.0
213977,0553285653,10,Grass,Sheri S. Tepper,"cold spring, minnesota, usa",-1.0
105298,0740706098,10,Boondocks: Because I Know You Don't Read The Newspaper,Aaron McGruder,"portland, oregon, usa",-1.0
26349,0743206045,10,Daddy's Little Girl,Mary Higgins Clark,"duncan, south carolina, usa",-1.0
26349,0440237009,10,The House on Hope Street,Danielle Steel,"duncan, south carolina, usa",-1.0
26346,1555611435,10,Your Pregnancy: Week by Week (Your Pregnancy Series),Glade B. Curtis M.D. OB/GYN,"redmond, oregon, usa",60.0
259629,0345384466,10,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,"carrollton, texas, usa",51.0
105334,0440966388,10,The Other Side of Dark (Laurel-Leaf Suspense Fiction),Joan Lowery Nixon,"altamonte springs, florida, usa",-1.0
213953,0451207343,10,Taste of Honey: A Carson Springs Novel,Eileen Goudge,"prince george, british columbia, canada",68.0
105335,0836217713,10,Homicidal Psycho Jungle Cat,Bill Watterson,"edmonton, alberta, canada",25.0
105360,0553560271,10,Shadows,John Saul,"birmingham, alabama, usa",28.0
26332,0140183078,10,The Go-Between (Penguin Twentieth-Century Classics),L. P. Hartley,"derby, england,",30.0
105361,0446672211,10,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,"royersford, ,",54.0
26374,0345361792,10,A Prayer for Owen Meany,John Irving,"ashland, kentucky, usa",40.0
214011,043936213X,10,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,"new castle, new hampshire, usa",-1.0
105243,0553250531,10,The Valley of Horses,JEAN M. AUEL,"chandler, arizona, usa",-1.0
105227,8401570549,10,Un Alma de Dios,Gustave Flaubert,"méxico, d.f., disrito federal, mexico",23.0
105221,0743437322,10,The Lost City of Faar (Pendragon Series #2),D.J. MacHale,"la mesa, california, usa",15.0
105221,0743437330,10,The Never War (Pendragon Series #3),D.J. MacHale,"la mesa, california, usa",15.0
105221,0786814934,10,"The Eternity Code (Artemis Fowl, Book 3)",Eoin Colfer,"la mesa, california, usa",15.0
105221,0786817070,10,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,"la mesa, california, usa",15.0
105221,0786818603,10,"The Golem's Eye (Bartimaeus Trilogy, Book 2)",Jonathan Stroud,"la mesa, california, usa",15.0
105221,0786851473,10,Artemis Fowl: The Arctic Incident - Book #2 (Artemis Fowl (Mass Market)),Eoin Colfer,"la mesa, california, usa",15.0
105221,0972393617,10,Ultimate Unofficial Guide to the Mysteries of Harry Potter,Galadriel Waters,"la mesa, california, usa",15.0
105221,157912061X,10,Alligators in the Sewer: And 222 Other Urban Legends,Thomas J. Craughwell,"la mesa, california, usa",15.0
26406,0671042262,10,The Blue Nowhere : A Novel,Jeffery Deaver,"houston, texas, usa",-1.0
214011,0971181802,10,E-Wally and the Quest,Judy Shasek,"new castle, new hampshire, usa",-1.0
105227,9500359081,10,The Persuasion de Los Dias - En La Masmedula,Oliverio Girondo,"méxico, d.f., disrito federal, mexico",23.0
105236,0060153490,10,"Twinkle Twinkle, Little Star: And Don't Have Sex or Take the Car",Dick Moore,"saint peters, missouri, usa",42.0
214024,0452279186,10,!Yo!,Julia Alvarez,"brighton, east sussex, united kingdom",-1.0
214102,0738205435,10,Small Pieces Loosely Joined: A Unified Theory of the Web,David Weinberger,"cambridge, massachusetts, usa",-1.0
105187,2080674889,10,Fort de l'eau: Roman,Daniel Picouly,"la chapelle sur erdre, loire atlantique, france",53.0
214102,0738207411,10,We've Got Blog: How Weblogs Are Changing Our Culture,Editors of Perseus Publishing,"cambridge, massachusetts, usa",-1.0
214102,073820756X,10,The Weblog Handbook: Practical Advice on Creating and Maintaining Your Blog,Rebecca Blood,"cambridge, massachusetts, usa",-1.0
214234,0439136369,10,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,"logansport, indiana, usa",17.0
105108,0064671569,10,HarperCollins College Outline Introduction to Government (Harpercollins College Outline),Larry Elowitz,"st. louis, missouri, usa",35.0
105108,0140042598,10,On the Road,Jack Kerouac,"st. louis, missouri, usa",35.0
105108,0140157875,10,The Actor's Book of Monologues for Women: From Non-Dramatic Sources,Stefan Rudnicki,"st. louis, missouri, usa",35.0
105108,0140587527,10,Loba (Penguin Poets),Diane Di Prima,"st. louis, missouri, usa",35.0
105108,031230904X,10,The Between Boyfriends Book : A Collection of Cautiously Hopeful Essays,Cindy Chupack,"st. louis, missouri, usa",35.0
105108,0316096199,10,Lucky : A Memoir,Alice Sebold,"st. louis, missouri, usa",35.0
214223,0449005615,10,Seabiscuit: An American Legend,LAURA HILLENBRAND,"latham, new york, usa",37.0
105108,0375726667,10,Leading Women: Plays for Actresses II,Eric Lane,"st. louis, missouri, usa",35.0
105108,0394820371,10,The Phantom Tollbooth,Norton Juster,"st. louis, missouri, usa",35.0
26516,0312958366,10,My Lady Caroline,Jill Jones,"victor, montana, usa",67.0
26516,026379850X,10,All She Wants for Christmas (Enchanted),Liz Fielding,"victor, montana, usa",67.0
214213,0060929871,10,Brave New World,Aldous Huxley,"chicago, illinois, usa",25.0
214202,349910170X,10,Draussen Vor Der Tuer,Wolfgang Borchert,"basel, basel-stadt, switzerland",26.0
214202,3498090275,10,Das Gesamtwerk.,Wolfgang Borchert,"basel, basel-stadt, switzerland",26.0
105108,0609803875,10,A Gracious Plenty : A Novel,SHERI REYNOLDS,"st. louis, missouri, usa",35.0
26509,1566565529,10,The New Pearl Harbor: Disturbing Questions About the Bush Administration and 9/11,David Ray Griffin,"baltimore, maryland, usa",-1.0
214179,0671003755,10,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,"asheville, north carolina, usa",-1.0
105108,0764508873,10,Politics for Dummies,Ann  DeLaney,"st. louis, missouri, usa",35.0
105108,0812967240,10,It's My F---ing Birthday : A Novel,MERRILL MARKOE,"st. louis, missouri, usa",35.0
105108,0823088103,10,The Back Stage Guide to Stage Management,Thomas A. Kelly,"st. louis, missouri, usa",35.0
105108,0867193956,10,Dinners and Nightmares,Diane Di Prima,"st. louis, missouri, usa",35.0
105108,0872862372,10,Pieces of a Song: Selected Poems,Diane Di Prima,"st. louis, missouri, usa",35.0
105108,0878300465,10,The Modern Monologue: Women,Michael Earley,"st. louis, missouri, usa",35.0
105108,0918526590,10,"Good Woman: Poems and a Memoir, 1969-1980 (American Poets Continuum Series ; Vol. 14)",Lucille Clifton,"st. louis, missouri, usa",35.0
214234,0439139600,10,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,"logansport, indiana, usa",17.0
105108,0060909005,10,Collected Poems Reissue,Sylvia Plath,"st. louis, missouri, usa",35.0
214234,0866119833,10,Time Machine (Great Illustrated Classics (Playmore)),H. G. Wells,"logansport, indiana, usa",17.0
259584,044651652X,10,The Bridges of Madison County,Robert James Waller,"kings park, new york, usa",-1.0
26516,0373761341,10,"Just A Little Bit Pregnant? (Silhouette Desire, No 1134)",Eileen Wilks,"victor, montana, usa",67.0
105058,0140294058,10,Time Out Paris (10th Edition),Time Out,"north york, ontario, canada",32.0
105058,0156002108,10,Towing Jehovah (Harvest Book),James Morrow,"north york, ontario, canada",32.0
105058,0156005050,10,Blameless in Abaddon,James Morrow,"north york, ontario, canada",32.0
26516,0373709579,10,"That Man Matthews (Home On The Ranch) (Harlequin Super Romance, No. 957)",Ann Evans,"victor, montana, usa",67.0
259614,8485900057,10,Rimas y leyendas (ClÃ¡sicos Fraile ; 3),Gustavo Adolfo BÃ©cquer,"madrid, madrid, spain",22.0
214244,0385512104,10,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),Mark Haddon,"duisburg, nordrhein-westfalen, germany",23.0
26516,0373271077,10,"Lawman Meets His Bride (Matched In Montana) (Intimate Moments, 1037)",Meagan McKinney,"victor, montana, usa",67.0
26516,0373258216,10,"Single, Sexy ... And Sold! (Bachelor Auction) (Harlequin Temptation, 721)",Vicki Lewis Thompson,"victor, montana, usa",67.0
105108,0028604199,10,Once upon a More Enlightened Time: More Politically Correct Bedtime Stories,James Finn Garner,"st. louis, missouri, usa",35.0
105068,059035342X,10,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,"lagrange, georgia, usa",13.0
26516,0373244835,10,"Her Montana Man  (Montana Mavericks) (Silhouette Special Edition, 1483)",Laurie Paige,"victor, montana, usa",67.0
26516,0373244088,10,When I See Your Face (The Windraven Legacy) (Silhouette 1408),Laurie Paige,"victor, montana, usa",67.0
259622,0451454243,10,The Forest House,Marion Zimmer Bradley,"houston, texas, usa",-1.0
26516,0373243286,10,"Irish Rebel (Special Edition, 1328)",Nora Roberts,"victor, montana, usa",67.0
26516,0373168381,10,"The Horseman's Convenient Wife (Harlequin American Romance, No. 838)",James Neff,"victor, montana, usa",67.0
26516,0373167482,10,"Cowboy Cootchie - Coo (Accidental Dads) (Harlequin American Romance , No 748)",Tina Leonard,"victor, montana, usa",67.0
214244,0140142231,10,Haroun and the Sea of Stories Edition Uk,Salman Rushdie,"duisburg, nordrhein-westfalen, germany",23.0
105108,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,"st. louis, missouri, usa",35.0
105108,1401094694,10,Common Sense Democracy: How to Complete the American Revolution in Your Neighborhood,Clayton Daughenbaugh,"st. louis, missouri, usa",35.0
105108,1557044686,10,The Words of Gandhi,Gandhi,"st. louis, missouri, usa",35.0
105108,1559361336,10,Contemporary American Monologues for Women,Todd London,"st. louis, missouri, usa",35.0
214118,075961377X,10,Common Bonds: Reflections of a Cancer Doctor,E. Roy Berger,"rochester, ,",-1.0
105128,0590566466,10,"Trapped in Bat Wing Hall (Give Yourself Goosebumps, No 3)",R. L. Stine,"roanoke, texas, usa",11.0
105128,0590568973,10,"The Haunted School (Goosebumps, No 59)",R. L. Stine,"roanoke, texas, usa",11.0
26443,2914370318,10,"Shannara, tome 1 : L'EpÃ?Â©e de Shannara",Terry Brooks,"malakoff, hauts-de-seine, france",27.0
214133,0449203794,10,Space,James A. Michener,"hamilton, montana, usa",65.0
214127,0385504209,10,The Da Vinci Code,Dan Brown,"atchison, kansas, usa",59.0
214118,0931104505,10,Parallel Journeys: A Spirited Approach to Coping and Living With Cancer,Larry Lachman,"rochester, ,",-1.0
26443,2840980738,10,La libÃ©ration des camps: Le dernier jour de notre mort,Christian Bernadac,"malakoff, hauts-de-seine, france",27.0
26443,2803437813,10,Les oiseaux dans mon jardin,Michael Lohmann,"malakoff, hauts-de-seine, france",27.0
214118,0786708425,10,Endurance: Shackleton's Incredible Voyage to the Antarctic (Illustrated Edition),Alfred Lansing,"rochester, ,",-1.0
214118,0670030260,10,Secret Knowledge: Rediscovering the Lost Techniques of the Old Masters,David Hockney,"rochester, ,",-1.0
105115,1580620477,10,Small Miracles II,Yitta Halberstam,"kahului, hawaii, usa",41.0
105160,0451203933,10,Black Hawk Down: A Story of Modern War,Mark Bowden,"portland, oregon, usa",-1.0
105160,0802130348,10,Waiting for Godot,Samuel Beckett,"portland, oregon, usa",-1.0
105186,1555841120,10,Betty Blue: The Story of a Passion,Philippe Djian,"hhi, south carolina, usa",33.0
214116,0060637242,10,The Art of Living : Vipassana Meditation: As Taught by S. N. Goenka,William Hart,"amsterdam, noord-holland, netherlands",34.0
105187,2020050609,10,Rue du prolÃ©taire rouge: Deux communistes franÃ§ais en URSS,Nina KÃ©hayan,"la chapelle sur erdre, loire atlantique, france",53.0
105187,2020181614,10,Le Patient Anglais - L'Homme Flambe - The English Patient,Michael Ondaatje,"la chapelle sur erdre, loire atlantique, france",53.0
105187,2020259214,10,"Les Soleils Des Independences (Fiction, Poetry and Drama)",Kourouma,"la chapelle sur erdre, loire atlantique, france",53.0
105187,2070370372,10,La Ferme africaine,Karen Blixen,"la chapelle sur erdre, loire atlantique, france",53.0
105187,2070378187,10,Femme Gelee (Folio Series No. 1818),Annie Ernaux,"la chapelle sur erdre, loire atlantique, france",53.0
214102,0738207713,10,"Corpse: Nature, Forensics, and the Struggle to Pinpoint Time of Death",Jessica Snyder Sachs,"cambridge, massachusetts, usa",-1.0
214138,0440241073,10,The Summons,John Grisham,"lakeland,, florida, usa",79.0
105115,0684853523,10,On Writing,Stephen King,"kahului, hawaii, usa",41.0
105108,1561380156,10,The Quotable Woman,Running Press,"st. louis, missouri, usa",35.0
26487,0553581716,10,Them Bones : A Mystery from the Mississippi Delta,CAROLYN HAINES,"winder, georgia, usa",44.0
105108,1573241385,10,"Women of the Beat Generation: The Writers, Artists and Muses at the Heart of a Revolution",Brenda Knight,"st. louis, missouri, usa",35.0
105108,1880238888,10,"Blessing the Boats: New and Selected Poems 1988-2000 (American Poets Continuum Series, Vol. 60.)",Lucille Clifton,"st. louis, missouri, usa",35.0
105108,1883689775,10,Collected Poems: 1919-1979 (Talisman Classic American Poets),Madeline Gleason,"st. louis, missouri, usa",35.0
105108,1890490377,10,"Rock Troubadours: Conversations on the Art and Craft of Songwriting with Jerry Garcia, Ani DiFranco, Dave Matthews, Joni Mitchell, Paul Simon, and More",Jeffrey Pepper Rodgers,"st. louis, missouri, usa",35.0
26487,1565123638,10,The Last Girls (Shannon Ravenel Books (Hardcover)),Lee Smith,"winder, georgia, usa",44.0
26487,0743509668,10,Christmas In Plains : Memories,Jimmy Carter,"winder, georgia, usa",44.0
26487,0743211936,10,An Hour Before Daylight,Jimmy Carter,"winder, georgia, usa",44.0
26487,0679404864,10,Dave Barry's Guide to Guys: A Fairly Short Book,Dave Barry,"winder, georgia, usa",44.0
26487,0670894699,10,The Florabama Ladies Auxiliary and Sewing Circle,Lois Battle,"winder, georgia, usa",44.0
26487,067003097X,10,Girl from the South,Joanna Trollope,"winder, georgia, usa",44.0
26487,0451410742,10,Step-Ball-Change,Jeanne Ray,"winder, georgia, usa",44.0
26487,006019958X,10,Savannah Blues,Mary Kay Andrews,"winder, georgia, usa",44.0
105114,0345433068,10,Mangrove Squeeze,Laurence Shames,"rock island, illinois, usa",38.0
26487,0451209710,10,The Dewey Decimal System of Love,Josephine Carr,"winder, georgia, usa",44.0
26487,0446533041,10,Good Grief : A Novel,Lolly Winston,"winder, georgia, usa",44.0
26487,0385730586,10,Sisterhood of the Traveling Pants,ANN BRASHARES,"winder, georgia, usa",44.0
26487,0380815575,10,The Viscount Who Loved Me,Julia Quinn,"winder, georgia, usa",44.0
26487,0345438825,10,Angry Housewives Eating Bon Bons,LORNA LANDVIK,"winder, georgia, usa",44.0
26487,0312050631,10,Confessions of a Failed Southern Lady,Florence King,"winder, georgia, usa",44.0
26487,015602943X,10,The Time Traveler's Wife (Harvest Book),Audrey Niffenegger,"winder, georgia, usa",44.0
26487,0143034359,10,Thursday Next in the Well Of Lost Plots (Thursday Next Novels (Penguin Books)),Fforde Jasper,"winder, georgia, usa",44.0
26487,0141000198,10,Bridget Jones's Diary,Helen Fielding,"winder, georgia, usa",44.0
26487,0060976845,10,Little Altars Everywhere: A Novel,Rebecca Wells,"winder, georgia, usa",44.0
105365,0312921098,10,Treason,Orson Scott Card,"columbia, missouri, usa",-1.0
213941,0743444019,10,Fear,Francine Pascal,"lorain, ohio, usa",20.0
26151,078670621X,10,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"kaiserslautern, rheinland-pfalz, germany",-1.0
213660,1563632608,10,Pdr Nurse's Handbook (Physicians' Desk Reference Nurse's Drug Handbook),Medical Economics,"crossville, tennessee, usa",-1.0
